1000,1009.6660,1011.9830,A ST
1001,1008.2370,1013.4390,A
1002,1006.3990,1014.2770,A
1003,1004.3130,1014.3140,A
1004,1002.4300,1013.6230,A
1005,1000.8940,1012.2270,A
1006,1000.2300,1010.2420,A
1007,997.9300,1009.8580,A
1008,997.1440,1010.3920,A
1009,998.2830,1011.8170,A
1010,999.4960,1013.4370,A
1011,1000.6720,1015.0230,A
1012,1001.8380,1016.6990,A
1013,1003.0430,1018.3340,A
1014,1004.2770,1019.9480,A
1015,1005.4660,1021.5660,A
1016,1006.6850,1023.1550,A
1017,1007.8590,1024.8060,A
1018,1009.0410,1026.4460,A
1019,1010.2900,1028.0480,A
1020,1011.4450,1029.6410,A
1021,1012.6560,1031.2580,A
1022,1013.6450,1031.3810,A
1023,1015.2990,1030.1600,A
1024,1016.8920,1028.9860,A
1025,1018.5070,1027.7490,A
1026,1020.0430,1026.5300,A
1027,1019.0520,1024.4480,A
1028,1018.2890,1020.4700,A
1029,1018.7100,1018.4440,A
1030,1019.5180,1016.6620,A
1031,1020.1170,1015.7710,A
1031,1020.1070,1015.7630,A
1032,1020.7320,1014.9820,A
1033,1021.3600,1014.1690,A
1034,1020.9150,1013.4950,A
1035,1018.7540,1013.2270,A
1036,1016.7370,1012.9700,A
1037,1014.6960,1012.7230,A
1038,1012.7390,1012.4340,A CLS
