1,14.84500000,-91.53600000,2392.17200000,
BM1,30.69400000,-116.63400000,2391.92400000,
2,9.52700000,-145.73200000,2392.60700000,
3,17.05500000,-100.15400000,2392.65900000,
4,22.73200000,-60.12400000,2390.49300000,
BM2,57.04100000,-98.46900000,2392.16900000,
BM2,57.04100000,-98.46900000,2392.16900000,
BM2,57.04100000,-98.46900000,2392.16900000,
5,46.00700000,-151.63400000,2392.58400000,
6,53.35100000,-105.97900000,2392.55700000,
BM3,2.44000000,-71.77800000,2391.85600000,
BM3,2.44000000,-71.77800000,2391.85600000,
BM3,2.44000000,-71.77800000,2391.85600000,
1,14.84500000,-91.53600000,2392.17200000,
8,10.78700000,-0.22600000,2390.20000000,
8,10.78700000,-0.22600000,2390.20000000,
7,6.54000000,-35.18900000,2390.54700000,
9,30.18300000,-15.04800000,2390.40600000,
10,-5.97000000,-9.02000000,2390.40600000,
11,-15.70000000,12.88200000,2389.34500000,
12,-8.19100000,57.89900000,2389.37000000,
BM4,-38.37900000,-15.55600000,2390.97700000,
BM4,-38.37900000,-15.55600000,2390.97700000,
BM4,-38.37900000,-15.55600000,2390.97700000,
8,10.78700000,-0.22600000,2390.20000000,
13,-13.56200000,-54.11400000,2390.38700000,
14,-26.58600000,38.17100000,2389.36000000,
15,-51.93900000,18.79100000,2389.32600000,
16,-88.32500000,-71.03900000,2392.80200000,
BM5,-58.59500000,-54.19700000,2392.64200000,
BM5,-58.59500000,-54.19700000,2392.64200000,
BM5,-58.59500000,-54.19700000,2392.64200000,
17,-60.40100000,-56.76600000,2392.62700000,
18,-67.73600000,-102.09700000,2392.61600000,
BM6,-98.33500000,-47.00900000,2392.74900000,
BM6,-98.33500000,-47.00900000,2392.74900000,
BM6,-98.33500000,-47.00900000,2392.74900000,
19,-97.03300000,-50.98400000,2392.62100000,
20,-105.36400000,-96.15600000,2392.52000000,
22,-41.14300000,65.55500000,2389.09600000,
22,-41.14300000,65.55500000,2389.09600000,
22,-41.14300000,65.55500000,2389.09600000,
21,-42.34700000,62.80500000,2389.14000000,
23,-22.12200000,104.12900000,2388.12000000,
