BM1,14.84500000,-91.53000000,2394.00000000,
1,68.21100000,-88.62900000,2392.32200000,
2,68.07600000,-84.98500000,2392.31100000,
3,67.90400000,-81.71800000,2392.25800000,
7,42.41300000,-90.46200000,2393.11600000,
8,42.76400000,-86.74100000,2393.12700000,
9,42.72100000,-82.65600000,2393.07500000,
10,30.26400000,-83.16700000,2393.50000000,
11,31.12300000,-87.61500000,2393.51700000,
12,31.64500000,-91.21500000,2393.44100000,
13,26.88500000,-93.60100000,2393.68300000,
14,24.68000000,-89.55700000,2393.71500000,
15,21.00800000,-83.50500000,2393.65200000,
16,18.28100000,-98.56600000,2394.06300000,
17,14.94600000,-93.23500000,2393.99900000,
18,9.16700000,-83.97100000,2393.92800000,
19,-1.04300000,-84.42900000,2394.04600000,
20,-11.21300000,-115.94200000,2396.07000000,
22,7.26200000,-109.05800000,2394.46200000,
22,7.26200000,-109.05800000,2394.46200000,
22,7.26200000,-109.05800000,2394.46200000,
21,11.04200000,-103.20300000,2394.31900000,
23,-2.01600000,-101.89800000,2394.14700000,
24,0.75700000,-105.64500000,2394.19600000,
25,2.72000000,-108.35800000,2394.24700000,
26,-4.53000000,-112.06600000,2394.24700000,
27,-4.97300000,-108.62400000,2394.22400000,
28,-5.62900000,-103.94200000,2394.18800000,
29,-14.82200000,-104.76600000,2394.27600000,
30,-14.64500000,-108.78100000,2394.34500000,
31,-14.43000000,-112.74300000,2394.38200000,
32,-31.85600000,-113.66600000,2394.30300000,
33,-32.03800000,-110.12300000,2394.26300000,
34,-32.27400000,-105.70300000,2394.23100000,
35,-53.42100000,-106.76900000,2394.12400000,
36,-53.19000000,-111.27900000,2394.15200000,
37,-53.02600000,-114.72400000,2394.18700000,
38,-74.16300000,-115.78500000,2394.08600000,
39,-74.39600000,-111.91400000,2394.01300000,
40,-74.60600000,-107.86100000,2393.95400000,
41,-104.44400000,-117.61400000,2393.84400000,
42,-104.65800000,-114.13000000,2393.76700000,
43,-105.01600000,-109.66400000,2393.75700000,
44,-120.33100000,-118.57800000,2393.57400000,
45,-120.53900000,-114.96100000,2393.49000000,
47,-124.26500000,-107.09700000,2393.51400000,
147,-124.26500000,-107.09700000,2393.51400000,
147,-124.26500000,-107.09700000,2393.51400000,
46,-120.84500000,-110.59300000,2393.55900000,
48,-129.91700000,-112.30200000,2393.22500000,
49,-124.95000000,-115.47600000,2393.36900000,
50,-129.48900000,-119.18800000,2393.22900000,
51,-124.78400000,-118.89500000,2393.38500000,
52,-128.57000000,-139.98100000,2394.05800000,
53,-124.76800000,-139.71700000,2394.08400000,
54,-119.14300000,-139.30600000,2394.16200000,
55,-117.98000000,-157.62900000,2394.62700000,
56,-123.26700000,-157.99800000,2394.57600000,
57,-127.40900000,-158.23900000,2394.57300000,
58,-126.42400000,-174.51200000,2395.00400000,
59,-123.20600000,-174.40500000,2394.99600000,
61,-114.81900000,-182.68200000,2395.36800000,
61,-114.81900000,-182.68200000,2395.36800000,
61,-114.81900000,-182.68200000,2395.36800000,
60,-116.95300000,-173.96100000,2395.09900000,
62,-125.61400000,-188.72600000,2395.44300000,
63,-120.73900000,-188.43800000,2395.44200000,
64,-115.99200000,-188.14400000,2395.51800000,
65,-116.85500000,-193.01800000,2395.55200000,
66,-120.97800000,-193.25800000,2395.62000000,
67,-124.58800000,-193.41800000,2395.48100000,
68,-124.16600000,-199.49900000,2395.80700000,
69,-120.81000000,-199.65200000,2395.96200000,
70,-117.77600000,-199.42300000,2395.92200000,
71,-117.40600000,-205.54700000,2396.40300000,
72,-120.46500000,-205.65900000,2396.45900000,
73,-123.60900000,-205.85500000,2396.27300000,
74,-123.19900000,-209.19400000,2396.53200000,
75,-120.27700000,-208.89700000,2396.74400000,
76,-117.29500000,-208.53400000,2396.72200000,
77,-117.18700000,-213.82400000,2397.16500000,
78,-119.90700000,-214.04000000,2397.10600000,
79,-122.79700000,-214.19400000,2396.96000000,
80,-121.79000000,-221.81100000,2397.43600000,
81,-119.39800000,-221.51000000,2397.54100000,
82,-116.71100000,-221.43100000,2397.61200000,
83,-116.53200000,-227.02500000,2397.86600000,
84,-118.92200000,-227.28400000,2397.78000000,
85,-121.56200000,-227.36100000,2397.66200000,
86,-120.86100000,-233.72400000,2397.96600000,
87,-118.71800000,-233.64600000,2398.04800000,
88,-116.16000000,-233.41400000,2398.05300000,
89,-116.23900000,-237.03200000,2398.25700000,
90,-118.51000000,-237.27100000,2398.24400000,
91,-120.65300000,-237.38700000,2398.11000000,
92,-120.13700000,-241.62700000,2398.48600000,
93,-117.49000000,-241.14300000,2398.61400000,
94,-115.73400000,-239.68700000,2398.66600000,
95,-113.40100000,-244.28100000,2398.95700000,
96,-116.91500000,-244.61400000,2398.89400000,
97,-120.36700000,-244.83900000,2398.82100000,
