2,-9.02500000,-71.31400000,2394.29000000,
2,-9.02500000,-71.31400000,2394.29000000,
bm1,14.84500000,-91.53600000,2394.00000000,
3,2.88200000,-124.49300000,2394.72600000,
4,-11.34400000,-39.01100000,2392.61800000,
5,-4.20800000,-78.78100000,2394.79500000,
6,37.90000000,-64.50200000,2394.68500000,
6,37.90000000,-64.50200000,2394.68500000,
6,37.90000000,-64.50200000,2394.68500000,
7,39.36200000,-118.64200000,2394.71500000,
8,32.08300000,-73.09400000,2394.70200000,
9,-27.20700000,-56.43300000,2393.99300000,
9,-27.20700000,-56.43300000,2393.99300000,
9,-27.20700000,-56.43300000,2393.99300000,
2,-9.02500000,-71.31400000,2394.29000000,
11,-41.34900000,14.13700000,2392.36100000,
11,-41.34900000,14.13700000,2392.36100000,
10,-34.48400000,-20.40100000,2392.69600000,
12,-18.30200000,6.09700000,2392.54700000,
13,-54.51600000,0.51200000,2392.55700000,
14,-70.59100000,18.32800000,2391.49700000,
15,-83.26000000,-15.79200000,2393.11000000,
16,-14.07500000,61.91600000,2390.74800000,
17,-44.00400000,50.96800000,2390.67000000,
18,-29.08900000,-30.05300000,2391.73700000,
15,-83.26000000,-15.79200000,2393.11000000,
15,-83.26000000,-15.79200000,2393.11000000,
11,-41.34900000,14.13700000,2392.36100000,
19,-113.32900000,-83.86800000,2394.94100000,
21,-90.37200000,-58.79100000,2394.77700000,
21,-90.37200000,-58.79100000,2394.77700000,
21,-90.37200000,-58.79100000,2394.77700000,
20,-91.32500000,-61.80000000,2394.77400000,
22,-84.60400000,-107.20100000,2394.75400000,
24,-130.42300000,-63.94900000,2394.89500000,
24,-130.42300000,-63.94900000,2394.89500000,
24,-130.42300000,-63.94900000,2394.89500000,
23,-127.89300000,-67.36000000,2394.74600000,
25,-121.49600000,-112.70100000,2394.74600000,
27,-111.69000000,60.89000000,2391.73800000,
27,-111.69000000,60.89000000,2391.73800000,
27,-111.69000000,60.89000000,2391.73800000,
26,-111.93300000,57.90900000,2391.40400000,
28,-75.54500000,62.64900000,2391.76400000,
29,-106.10800000,106.71600000,2390.72500000,
